iter	MultiClass	Accuracy
0	1.661519758	0.9698838897
1	1.383473331	0.9698838897
2	1.192374614	0.9698838897
3	1.04855581	0.9698838897
4	0.9347988873	0.9698838897
5	0.8417277468	0.9698838897
6	0.7639489722	0.9698838897
7	0.6979307473	0.9698838897
8	0.6411462508	0.9698838897
9	0.591779141	0.9698838897
10	0.5485589239	0.9698838897
11	0.5104727754	0.9698838897
12	0.4768128173	0.9698838897
13	0.4467796607	0.9698838897
14	0.4199308255	0.9698838897
15	0.3958681515	0.9698838897
16	0.3742493038	0.9698838897
17	0.354751567	0.9698838897
18	0.3371150607	0.9698838897
19	0.3211488007	0.9698838897
20	0.3066694514	0.9698838897
21	0.2935247518	0.9698838897
22	0.2815783695	0.9698838897
23	0.2706840994	0.9698838897
24	0.2607966721	0.9698838897
25	0.2517517509	0.9698838897
26	0.2435042041	0.9698838897
27	0.2359414466	0.9698838897
28	0.2290286984	0.9698838897
29	0.2226870587	0.9698838897
30	0.2168933005	0.9698838897
31	0.2115845734	0.9698838897
32	0.2067070962	0.9698838897
33	0.2022354137	0.9698838897
34	0.1981364984	0.9698838897
35	0.1943756558	0.9698838897
36	0.1909260518	0.9698838897
37	0.1877926333	0.9698838897
38	0.1848752411	0.9698838897
39	0.1822153074	0.9698838897
40	0.1797813146	0.9698838897
41	0.177519453	0.9698838897
42	0.1754429477	0.9698838897
43	0.1735366284	0.9698838897
44	0.1717866059	0.9698838897
45	0.1701910676	0.9698838897
46	0.1687434905	0.9698838897
47	0.1672861212	0.9698838897
48	0.1660252895	0.9698838897
49	0.1648137795	0.9698838897
50	0.1637576623	0.9698838897
51	0.1627283695	0.9698838897
52	0.1618920282	0.9698838897
53	0.1607503186	0.9698838897
54	0.1600040636	0.9698838897
55	0.1593028604	0.9698838897
56	0.1586723245	0.9698838897
57	0.1579452894	0.9698838897
58	0.1573948345	0.9698838897
59	0.1565033402	0.9698838897
60	0.1560618129	0.9698838897
61	0.1555862015	0.9698838897
62	0.1551983657	0.9698838897
63	0.1548475752	0.9698838897
64	0.1545016397	0.9698838897
65	0.1541863848	0.9698838897
66	0.1538117079	0.9698838897
67	0.1535328689	0.9698838897
68	0.1532919477	0.9698838897
69	0.1530582024	0.9698838897
70	0.1527913969	0.9698838897
71	0.1526068482	0.9698838897
72	0.1523016771	0.9698838897
73	0.152035331	0.9698838897
74	0.1517313798	0.9698838897
75	0.1515372959	0.9698838897
76	0.1513232362	0.9698838897
77	0.1511781145	0.9698838897
78	0.1509196829	0.9698838897
79	0.1506863978	0.9698838897
80	0.1505385186	0.9698838897
81	0.1504331487	0.9698838897
82	0.1502420914	0.9698838897
83	0.150099898	0.9698838897
84	0.1500242506	0.9698838897
85	0.1499277878	0.9698838897
86	0.1498492353	0.9698838897
87	0.1497453467	0.9698838897
88	0.1496851171	0.9698838897
89	0.149629639	0.9698838897
90	0.1492900569	0.9698838897
91	0.1492338327	0.9698838897
92	0.1490977482	0.9698838897
93	0.1490334023	0.9698838897
94	0.1489405737	0.9698838897
95	0.1488509034	0.9698838897
96	0.1487972139	0.9698838897
97	0.1487063801	0.9698838897
98	0.1486056832	0.9698838897
99	0.1485266567	0.9698838897
100	0.1484801466	0.9698838897
101	0.1484242884	0.9698838897
102	0.148383034	0.9698838897
103	0.1479450551	0.9698838897
104	0.1479046337	0.9698838897
105	0.1478147271	0.9698838897
106	0.1477491653	0.9698838897
107	0.1476374675	0.9698838897
108	0.1475738885	0.9698838897
109	0.1473010517	0.9698838897
110	0.1471676409	0.9698838897
111	0.1471133974	0.9698838897
112	0.1470937	0.9698838897
113	0.1469678048	0.9698838897
114	0.1468023221	0.9698838897
115	0.1466747041	0.9698838897
116	0.146644767	0.9698838897
117	0.1465976985	0.9698838897
118	0.1465848357	0.9698838897
119	0.1465669564	0.9698838897
120	0.1465462575	0.9698838897
121	0.1464988677	0.9698838897
122	0.1462628288	0.9698838897
123	0.1461541873	0.9698838897
124	0.146041306	0.9698838897
125	0.1459997247	0.9698838897
126	0.1459646677	0.9698838897
127	0.1459106243	0.9698838897
128	0.1457333459	0.9698838897
129	0.1457006032	0.9698838897
130	0.1456448694	0.9698838897
131	0.1456290781	0.9698838897
132	0.1455997275	0.9698838897
133	0.1455240407	0.9698838897
134	0.1453966904	0.9698838897
135	0.1451702	0.9698838897
136	0.1450822645	0.9698838897
137	0.144750106	0.9698838897
138	0.1446829223	0.9698838897
139	0.1446045492	0.9698838897
140	0.1445757582	0.9698838897
141	0.1445018322	0.9698838897
142	0.1440446659	0.9698838897
143	0.1440346665	0.9698838897
144	0.1434700134	0.9698838897
145	0.1430590625	0.9698838897
146	0.1430104918	0.9698838897
147	0.1424866001	0.9698838897
148	0.1424751547	0.9698838897
149	0.1424624428	0.9698838897
150	0.1424533116	0.9698838897
151	0.14243069	0.9698838897
152	0.1423952194	0.9698838897
153	0.141734688	0.9698838897
154	0.1416363968	0.9698838897
155	0.1416001971	0.9698838897
156	0.1415694598	0.9698838897
157	0.1415397358	0.9698838897
158	0.1414981549	0.9698838897
159	0.1414679687	0.9698838897
160	0.1414435908	0.9698838897
161	0.1413963667	0.9698838897
162	0.1413608814	0.9698838897
163	0.1413194609	0.9698838897
164	0.1413039114	0.9698838897
165	0.1412832354	0.9698838897
166	0.1412513883	0.9698838897
167	0.1411412723	0.9698838897
168	0.1410557105	0.9698838897
169	0.1409178682	0.9698838897
170	0.1409080474	0.9698838897
171	0.140892626	0.9698838897
172	0.1405284211	0.9698838897
173	0.1404537485	0.9698838897
174	0.1403410098	0.9698838897
175	0.1403308311	0.9698838897
176	0.1402544978	0.9698838897
177	0.1402244347	0.9698838897
178	0.1402074464	0.9698838897
179	0.1400988773	0.9698838897
180	0.1399382987	0.9698838897
181	0.1398533161	0.9698838897
182	0.1396132414	0.9698838897
183	0.1395658583	0.9698838897
184	0.1395585446	0.9698838897
185	0.1395342511	0.9698838897
186	0.1394260375	0.9698838897
187	0.1393835994	0.9698838897
188	0.13914375	0.9698838897
189	0.1390998892	0.9698838897
190	0.1390812542	0.9698838897
191	0.1390136674	0.9698838897
192	0.1387279571	0.9698838897
193	0.1387027435	0.9698838897
194	0.1386859762	0.9698838897
195	0.138665567	0.9698838897
196	0.1385970958	0.9698838897
197	0.1385774935	0.9698838897
198	0.1385615321	0.9698838897
199	0.1384600096	0.9698838897
200	0.1384404574	0.9698838897
201	0.1383851749	0.9698838897
202	0.1383370042	0.9698838897
203	0.1383355036	0.9698838897
204	0.1383195419	0.9698838897
205	0.1383150215	0.9698838897
206	0.1383013792	0.9698838897
207	0.1382521275	0.9698838897
208	0.1381310123	0.9698838897
209	0.1381166989	0.9698838897
210	0.1380971899	0.9698838897
211	0.1380040658	0.9698838897
212	0.1379823999	0.9698838897
213	0.1379530528	0.9698838897
214	0.137720569	0.9698838897
215	0.1376781682	0.9698838897
216	0.1375421707	0.9698838897
217	0.1375145012	0.9698838897
218	0.1374820428	0.9698838897
219	0.1374248857	0.9698838897
220	0.1374102404	0.9698838897
221	0.1373483304	0.9698838897
222	0.1372823848	0.9698838897
223	0.1372558203	0.9698838897
224	0.137239946	0.9698838897
225	0.1371792526	0.9698838897
226	0.1371474469	0.9698838897
227	0.137115536	0.9698838897
228	0.1371148563	0.9698838897
229	0.1370423795	0.9698838897
230	0.1369739503	0.9698838897
231	0.1368296523	0.9698838897
232	0.1367918125	0.9698838897
233	0.1367665043	0.9698838897
234	0.1367492336	0.9698838897
235	0.136737099	0.9698838897
236	0.1366992234	0.9698838897
237	0.1366309794	0.9698838897
238	0.1366124432	0.9698838897
